state,year,Y_it_lag2,W_it_lag2,Z_t_lag2
AK,1994,,,
AK,1995,,,
AK,1996,0.03197832973999204,0.0,1.2350360798637452e-05
AK,1997,0.05600717121878551,0.0,2.6178869679525138e-06
AK,1998,0.3286911010578524,0.0,2.477356420395867e-06
AK,1999,0.2833262552324727,0.0,2.331667454090195e-06
AK,2000,0.10324478078455623,0.0,2.2068194195805615e-06
AK,2001,0.14378510217567508,0.00017910462070708634,2.0765905249275634e-06
AK,2002,0.15153754437433986,0.0,1.95103830356439e-06
AK,2003,-0.023393574996794175,-0.00017381752060920572,1.8900145710673346e-06
AK,2004,0.008395053374724348,0.0,1.829975469407581e-06
AK,2005,0.16533244241126432,0.00017038115697386917,1.7457415580629926e-06
AK,2006,0.12281974874329338,0.00016378727667633173,2.4555553184125742e-06
AK,2007,0.04152463521603256,0.0,1.8406041414973637e-05
AK,2008,-0.018980415265659634,-0.00015334855344590877,5.139124422038505e-05
AK,2009,-0.008579479348871377,0.0008990049856828906,0.00024099446450577295
AK,2010,-0.037034960976642495,0.0019481520465118407,0.0004068367132143269
AK,2011,0.03218722654645623,0.0007559814652333396,0.00031470024281037907
AK,2012,0.051796041145657945,0.0036420711025552414,0.00026956503923092156
AK,2013,-0.12621243311020436,0.01995001593901058,4.715672413977106e-05
AK,2014,0.05060602260349434,0.016991908837484405,-0.00016116398061519785
AK,2015,0.23156145090047975,0.0022686680537713985,-0.00018808109191907233
AK,2016,-0.025734258022380274,0.0026141140106803436,-0.00013396138640608415
AK,2017,-0.08667541119669675,-0.002770581853100659,-7.843730143160751e-06
AK,2018,-0.011966396110848265,-0.0021675666509287143,3.418078256755588e-05
AK,2019,0.01557721006949242,0.00015324939498910612,8.86364137144398e-05
AK,2020,0.06932783587519964,-0.004127263846695881,8.326670584881558e-05
AK,2021,0.07031789838073177,-0.0017920619232563474,0.00018430842199191306
AK,2022,0.11444188006405476,0.0016018938110892345,0.00018759986856781277
AL,1994,,,
AL,1995,,,
AL,1996,0.14231256576168327,0.0,1.2350360798637452e-05
AL,1997,0.0274618927930943,0.0,2.6178869679525138e-06
AL,1998,-0.003432631482887416,0.0,2.477356420395867e-06
AL,1999,0.04291067767409462,0.0,2.331667454090195e-06
AL,2000,0.07797384831889609,0.0,2.2068194195805615e-06
AL,2001,0.022471664371154887,0.0,2.0765905249275634e-06
AL,2002,0.017571182272365427,0.0,1.95103830356439e-06
AL,2003,0.0954280109843646,0.0,1.8900145710673346e-06
AL,2004,0.04508499780974784,0.0,1.829975469407581e-06
AL,2005,0.07251873062295733,0.0,1.7457415580629926e-06
AL,2006,0.08396803644440709,0.0,2.4555553184125742e-06
AL,2007,0.030149211028922984,0.0,1.8406041414973637e-05
AL,2008,-0.040023604950916614,0.0,5.139124422038505e-05
AL,2009,-0.26097984266026497,0.0,0.00024099446450577295
AL,2010,-0.049866105700824725,0.0,0.0004068367132143269
AL,2011,0.10463213811652139,0.0,0.00031470024281037907
AL,2012,-0.18860617306363636,0.0,0.00026956503923092156
AL,2013,-0.10746239714610262,0.0,4.715672413977106e-05
AL,2014,0.043848118015101356,0.0,-0.00016116398061519785
AL,2015,-0.04740472979468535,0.0,-0.00018808109191907233
AL,2016,-0.1732170481019546,0.0002765303129409835,-0.00013396138640608415
AL,2017,-0.21020216595030305,0.0016367446531992634,-7.843730143160751e-06
AL,2018,-0.061421509850081435,0.0029919279532577537,3.418078256755588e-05
AL,2019,-0.09947246526484488,0.011060601003978208,8.86364137144398e-05
AL,2020,-0.22467071201788702,0.014509599298788858,8.326670584881558e-05
AL,2021,0.03340367850170711,0.010651814448080723,0.00018430842199191306
AL,2022,0.2617962100911635,0.016992179450656248,0.00018759986856781277
AR,1994,,,
AR,1995,,,
AR,1996,0.1461808399967799,0.0,1.2350360798637452e-05
AR,1997,0.014713323587262295,0.0,2.6178869679525138e-06
AR,1998,-0.005367973919059743,0.0,2.477356420395867e-06
AR,1999,0.09360921732378102,0.0,2.331667454090195e-06
AR,2000,0.03700681198243405,0.00026574345855648064,2.2068194195805615e-06
AR,2001,0.026473306961835696,0.0,2.0765905249275634e-06
AR,2002,-0.004043733766036617,-0.00025108034109125077,1.95103830356439e-06
AR,2003,-0.001104103373902987,0.0,1.8900145710673346e-06
AR,2004,0.10215674651685802,0.0,1.829975469407581e-06
AR,2005,0.0064323145430726925,0.0009004236477254011,1.7457415580629926e-06
AR,2006,0.004179494431714836,0.0,2.4555553184125742e-06
AR,2007,0.11224227756599259,-0.0008407984968297756,1.8406041414973637e-05
AR,2008,0.06679253665021267,0.0,5.139124422038505e-05
AR,2009,0.023103025244282094,0.0,0.00024099446450577295
AR,2010,0.13563451622886813,0.0,0.0004068367132143269
AR,2011,0.19439254171390452,0.0,0.00031470024281037907
AR,2012,0.06358990888800431,0.0,0.00026956503923092156
AR,2013,0.10134922239845245,0.0,4.715672413977106e-05
AR,2014,0.12121553618341174,0.0,-0.00016116398061519785
AR,2015,-0.2845931553491603,4.094495779721151e-05,-0.00018808109191907233
AR,2016,-0.16190650961089048,0.0009610738321907322,-0.00013396138640608415
AR,2017,0.1917806946349696,0.0011086140964441063,-7.843730143160751e-06
AR,2018,0.1887226799756503,0.006254356504778807,3.418078256755588e-05
AR,2019,-0.07383390819049396,0.14087794198766232,8.86364137144398e-05
AR,2020,-0.49022076136367865,0.13726885997807878,8.326670584881558e-05
AR,2021,-0.0374841918818678,0.034740034631388,0.00018430842199191306
AR,2022,0.41396630510534216,0.057495692065986426,0.00018759986856781277
AZ,1994,,,
AZ,1995,,,
AZ,1996,-0.18509492483890622,0.0,1.2350360798637452e-05
AZ,1997,0.056368269204304156,0.0,2.6178869679525138e-06
AZ,1998,0.13822134931075514,0.0,2.477356420395867e-06
AZ,1999,0.10890680224068472,0.0,2.331667454090195e-06
AZ,2000,0.13790803469868518,0.0,2.2068194195805615e-06
AZ,2001,0.10822562521657986,0.0,2.0765905249275634e-06
AZ,2002,0.018056760243019276,0.0,1.95103830356439e-06
AZ,2003,0.03793897352983944,0.0,1.8900145710673346e-06
AZ,2004,0.15032958116341177,4.479086248574109e-05,1.829975469407581e-06
AZ,2005,0.1222148223208892,0.00016383693319449154,1.7457415580629926e-06
AZ,2006,0.03793817826723789,0.00010784843564793041,2.4555553184125742e-06
